:			Group	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Black	Dot	ID	Sex	fmal	fmal	fmal	fmar	fmar	fmar	fmtl	fmtl	fmtl	glb	glb	glb	nas	nas	nas	
Darkorange	Dot	225	1	144,7915	86,7762	353,0871	239,8864	119,444	354,4591	141,7065	85,0029	348,9975	195,1528	91,2354	371,0524	193,0961	96,9882	371,2828	
Darkorange	Dot	234	1	150,1827	65,9369	351,1096	247,6389	76,2292	348,6394	148,8238	63,5734	348,6159	200,3099	56,0767	367,9046	200,6532	61,0531	368,3744	
Darkorange	Dot	237	1	153,9265	70,2292	347,1484	246,5644	81,2142	345,7038	151,0054	67,2751	343,1113	201,9992	58,1728	364,6448	200,8158	67,1009	363,8171	
Darkorange	Dot	240	1	153,6451	70,6804	346,3292	247,3971	80,0751	346,1062	151,7117	67,5447	341,1175	201,1286	59,6899	364,2623	200,4885	64,9953	363,9959	
Darkorange	Dot	244	1	149,6936	70,9604	346,3323	245,7303	74,4338	345,5771	147,1432	67,3208	342,0902	197,4848	54,6259	360,725	197,7849	63,7157	360,4636	
Darkorange	Dot	247	1	152,375	77,66	346,2788	244,777	84,0887	342,7823	148,9355	76,5291	341,2082	198,9227	69,149	361,3117	198,9527	76,8281	359,8762	
Darkorange	Dot	249	1	149,881	74,7355	335,1633	247,6099	83,7983	336,8797	148,7121	68,7135	331,7883	200,8038	64,7458	358,0566	199,7185	73,6743	356,3231	
Darkorange	Dot	252	1	151,7131	67,8115	349,805	250,3546	76,0799	345,9404	148,5398	65,2187	343,9769	202,7182	53,8869	364,7977	203,1139	61,6186	364,267	
Darkorange	Dot	273	1	84,1893	-128,3116	340,0218	121,2053	-217,8258	338,7844	82,3289	-124,3896	335,8349	86,9771	-179,7538	353,4337	95,6394	-175,5178	353,0704	
Darkorange	Dot	274	1	89,6175	-119,1444	338,7075	133,0339	-208,384	332,1612	83,3049	-118,367	334,5972	96,7194	-170,9534	355,6272	104,476	-167,539	353,2756	
Darkorange	Dot	275	1	76,3541	-156,5643	348,584	92,9652	-253,0175	347,8359	71,6262	-153,8885	346,0095	64,3562	-207,8397	369,3376	74,9534	-205,4808	369,7682	
Darkorange	Dot	276	1	90,5288	-154,2683	332,1988	98,9281	-246,3101	334,8615	87,0112	-152,334	329,9774	81,5337	-201,1386	352,1439	90,6045	-200,196	350,5145	
